schema_version,regime_id,diagnostic_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,minutes_after_rth_open,risk_points,target_distance_points,original_reward_risk,sweep_abs_delta,session_open_price,entry_close_price,entry_vwap,session_high_so_far,session_low_so_far,session_range_points,entry_position_in_session_range,fade_edge_score,direction_aware_vwap_stretch_points,direction_aware_open_stretch_points,opening_range_high,opening_range_low,opening_range_points,opening_range_edge_score,direction_aware_outside_opening_range_points,exit_reason,net_usd,notes
1,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173:quality,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173,liquidity_sweep_absorption_reversal_ESU26-CME_165,ESU26-CME,long,2026-05-21  11:10:50,165,100,5,11.625,2.325,2,7480,7472.25,7481.95,7501.25,7467.5,33.75,0.14074074,0.85925926,9.7,7.75,7497.25,7470.5,26.75,0.93457944,0,target_hit,552.75,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276:quality,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276,liquidity_sweep_absorption_reversal_ESU26-CME_263,ESU26-CME,short,2026-05-21  13:12:42,263,222,5,12.875,2.575,1,7480,7496.75,7484.29,7506.5,7467.5,39,0.75,0.75,12.46,16.75,7497.25,7470.5,26.75,0.98130841,0,stop_hit,-278.5,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637:quality,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637,liquidity_sweep_absorption_reversal_ESU26-CME_616,ESU26-CME,long,2026-05-22  10:31:37,616,61,3.25,10.625,3.26923077,1,7553.75,7552,7561.5,7575.25,7541,34.25,0.32116788,0.67883212,9.5,1.75,7575.25,7550,25.25,0.92079208,0,target_hit,502.75,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801:quality,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801,liquidity_sweep_absorption_reversal_ESU26-CME_771,ESU26-CME,short,2026-05-22  13:37:14,771,247,6.25,10.875,1.74,3,7553.75,7573.5,7566.82,7583.75,7541,42.75,0.76023392,0.76023392,6.68,19.75,7575.25,7550,25.25,0.93069307,0,target_hit,515.25,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919:quality,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919,liquidity_sweep_absorption_reversal_ESU26-CME_918,ESU26-CME,long,2026-05-25  11:10:55,918,100,2.5,1.625,0.65,165,7619.75,7620.75,7620.25,7625,7614.5,10.5,0.5952381,0.4047619,-0.5,-1,7625,7619.75,5.25,0.80952381,0,target_hit,52.75,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937:quality,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937,liquidity_sweep_absorption_reversal_ESU26-CME_934,ESU26-CME,short,2026-05-25  11:14:19,934,104,2.5,2.375,0.95,3,7619.75,7624.75,7621.7,7630.25,7614.5,15.75,0.65079365,0.65079365,3.05,5,7625,7619.75,5.25,0.95238095,0,target_hit,90.25,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058,liquidity_sweep_absorption_reversal_ESU26-CME_1043,ESU26-CME,short,2026-05-26  11:02:56,1043,92,3.25,7.875,2.42307692,3,7596.25,7602.25,7602.15,7615.25,7585.5,29.75,0.56302521,0.56302521,0.1,6,7603.25,7585.5,17.75,0.94366197,0,target_hit,365.25,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118,liquidity_sweep_absorption_reversal_ESU26-CME_1104,ESU26-CME,long,2026-05-26  12:17:53,1104,167,2.75,8.625,3.13636364,2,7596.25,7585.75,7598.32,7615.25,7577.75,37.5,0.21333333,0.78666667,12.57,10.5,7603.25,7585.5,17.75,0.98591549,0,stop_hit,-166,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308,liquidity_sweep_absorption_reversal_ESU26-CME_1298,ESU26-CME,long,2026-05-27  11:25:16,1298,115,3.25,8.375,2.57692308,1,7602.25,7588.25,7595.62,7607.25,7583.75,23.5,0.19148936,0.80851064,7.37,14,7606.25,7587,19.25,0.93506494,0,stop_hit,-191,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843,liquidity_sweep_absorption_reversal_ESU26-CME_1796,ESU26-CME,long,2026-05-29  10:51:24,1796,81,6.5,8,1.23076923,2,7653,7653,7657.05,7673.5,7640,33.5,0.3880597,0.6119403,4.05,0,7671.5,7650.5,21,0.88095238,0,target_hit,371.5,pre-entry auction regime diagnostic from orderflow bar export
