schema_version,diagnostic_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,sweep_bar_index,sweep_extreme_price,zone_low_price,zone_high_price,zone_levels,zone_bid_volume,zone_ask_volume,zone_delta,zone_aggression_ratio,extreme_bid_volume,extreme_ask_volume,extreme_delta,extreme_aggression_ratio,level_absorption_pass,exit_reason,net_usd,notes
1,liquidity_sweep_absorption_reversal_ESU26-CME_165:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173,liquidity_sweep_absorption_reversal_ESU26-CME_165,ESU26-CME,long,2026-05-21  11:10:50,165,163,7467.5,7467.5,7468.5,4,7,5,-2,1.4,2,1,-1,2,true,target_hit,552.75,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_263:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276,liquidity_sweep_absorption_reversal_ESU26-CME_263,ESU26-CME,short,2026-05-21  13:12:42,263,261,7501.5,7500.5,7501.5,1,0,1,1,inf,0,1,1,inf,true,stop_hit,-278.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_616:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637,liquidity_sweep_absorption_reversal_ESU26-CME_616,ESU26-CME,long,2026-05-22  10:31:37,616,615,7549,7549,7550,1,1,0,-1,inf,1,0,-1,inf,true,target_hit,502.75,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_771:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801,liquidity_sweep_absorption_reversal_ESU26-CME_771,ESU26-CME,short,2026-05-22  13:37:14,771,766,7579.5,7578.5,7579.5,2,0,3,3,inf,0,2,2,inf,true,target_hit,515.25,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_918:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919,liquidity_sweep_absorption_reversal_ESU26-CME_918,ESU26-CME,long,2026-05-25  11:10:55,918,917,7618.5,7618.5,7619.5,4,176,11,-165,16,1,0,-1,inf,true,target_hit,52.75,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_934:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937,liquidity_sweep_absorption_reversal_ESU26-CME_934,ESU26-CME,short,2026-05-25  11:14:19,934,933,7627,7626,7627,2,0,3,3,inf,0,2,2,inf,true,target_hit,90.25,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_1043:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058,liquidity_sweep_absorption_reversal_ESU26-CME_1043,ESU26-CME,short,2026-05-26  11:02:56,1043,1038,7605.25,7604.25,7605.25,2,0,3,3,inf,0,2,2,inf,true,target_hit,365.25,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_1104:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118,liquidity_sweep_absorption_reversal_ESU26-CME_1104,ESU26-CME,long,2026-05-26  12:17:53,1104,1103,7583.25,7583.25,7584.25,3,3,1,-2,3,1,0,-1,inf,true,stop_hit,-166,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_1298:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308,liquidity_sweep_absorption_reversal_ESU26-CME_1298,ESU26-CME,long,2026-05-27  11:25:16,1298,1297,7585.25,7585.25,7586.25,3,3,2,-1,1.5,1,0,-1,inf,true,stop_hit,-191,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_1796:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843,liquidity_sweep_absorption_reversal_ESU26-CME_1796,ESU26-CME,long,2026-05-29  10:51:24,1796,1793,7646.75,7646.75,7647.75,2,2,0,-2,inf,1,0,-1,inf,true,target_hit,371.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_2243:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_2243:stop_hit:2246,liquidity_sweep_absorption_reversal_ESU26-CME_2243,ESU26-CME,short,2026-06-01  11:31:21,2243,2241,7661,7660,7661,5,0,8,8,inf,0,1,1,inf,true,stop_hit,-241,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
