schema_version,context_id,outcome_id,event_key,signal_id,symbol,direction,entry_time,entry_bar_index,lookback_bars,lookback_bars_available,minutes_after_rth_open,entry_price,stop_price,first_target_price,runner_target_price,risk_points,first_target_points,runner_target_points,runner_reward_risk,signal_price_move,signal_delta_sum,signal_abs_delta_sum,lookback_range_points,average_bar_range_points,average_volume,average_trades,average_abs_delta,entry_bar_range_points,entry_open_price,entry_close_price,entry_bar_volume,entry_bar_trades,entry_bar_delta,risk_to_average_bar_range,runner_target_to_average_bar_range,signal_abs_delta_sum_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_abs_delta_to_average_abs_delta,session_open_price,session_high_so_far,session_low_so_far,session_range_points,entry_position_in_session_range,continuation_edge_score,fade_edge_score,directional_open_distance_points,opening_range_high,opening_range_low,opening_range_points,entry_position_in_opening_range,opening_range_continuation_edge_score,opening_range_fade_edge_score,directional_opening_range_breakout_points,lookback_directional_move_points,lookback_efficiency_ratio,lookback_choppiness_score,session_bars_so_far,session_average_volume,session_average_trades,entry_volume_to_session_average_volume,entry_trades_to_session_average_trades,lookback_volume_to_session_average_volume,lookback_trades_to_session_average_trades,exit_reason,first_target_hit,net_usd,notes
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2710_short_0:runner_target_hit:2717:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2710_short_0:runner_target_hit:2717:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2710_short_0,ESU26-CME,short,2025-10-13 10:00:00.000000,2710,20,10,30,6858.5,6868.5,6853.5,6848.5,10,5,10,1,,1125,1125,33,11.2,20379.7,17009.2,869.3,11.75,6865.25,6858.5,24151,19170,1125,0.89285714,0.89285714,1.29414471,1.18505179,1.12703713,1.29414471,6842.25,6869,6833.75,35.25,0.70212766,0.29787234,0.70212766,-16.25,6866.75,6833.75,33,0.75,0.25,0.75,-24.75,-7,0.10218978,0.89781022,11,20722.54545455,17205.63636364,1.16544563,1.11416978,0.98345544,0.98858302,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2715_short_1:runner_target_hit:2717:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2715_short_1:runner_target_hit:2717:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2715_short_1,ESU26-CME,short,2025-10-13 10:15:00.000000,2715,20,15,45,6859.5,6869.5,6854.5,6849.5,10,5,10,1,,208,208,35.25,10.25,19644.26666667,16184.2,798.53333333,7,6858.5,6859.5,12852,10645,208,0.97560976,0.97560976,0.26047754,0.65423669,0.65774027,0.26047754,6842.25,6869,6833.75,35.25,0.73049645,0.26950355,0.73049645,-17.25,6866.75,6833.75,33,0.78030303,0.21969697,0.78030303,-25.75,-8,0.09039548,0.90960452,16,19219.75,15838,0.66868716,0.67211769,1.02208752,1.02185882,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2727_long_2:full_stop_hit:2731:-1032:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2727_long_2:full_stop_hit:2731:-1032,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2727_long_2,ESU26-CME,long,2025-10-13 10:51:00.000000,2727,20,20,81,6845.25,6835.25,6850.25,6855.25,10,5,10,1,,-477,477,31.75,8.9125,14660.2,12037.8,545.5,8.5,6845.25,6845.25,11373,9700,-477,1.12201964,1.12201964,0.87442713,0.77577386,0.80579508,0.87442713,6842.25,6869,6833.75,35.25,0.32624113,0.32624113,0.67375887,3,6866.75,6833.75,33,0.34848485,0.34848485,0.65151515,-21.5,-10.25,0.1202346,0.8797654,28,16520,13679.21428571,0.68843826,0.70910506,0.88742131,0.88000668,full_stop_hit,false,-1032,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2742_short_3:runner_initial_stop_hit:2758:-282:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2742_short_3:runner_initial_stop_hit:2758:-282,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2742_short_3,ESU26-CME,short,2025-10-13 11:36:00.000000,2742,20,20,126,6866,6876,6861,6856,10,5,10,1,,93,93,35,6.6375,10191.05,8347.3,430.15,3.5,6867,6866,5507,4521,93,1.50659134,1.50659134,0.21620365,0.54037611,0.54161226,0.21620365,6842.25,6869,6833.75,35.25,0.91489362,0.08510638,0.91489362,-23.75,6866.75,6833.75,33,0.97727273,0.02272727,0.97727273,-32.25,-8.75,0.15283843,0.84716157,43,14125.62790698,11644,0.38985878,0.38826864,0.72145819,0.71687564,runner_initial_stop_hit,true,-282,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2749_short_4:full_stop_hit:2758:-1032:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2749_short_4:full_stop_hit:2758:-1032,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2749_short_4,ESU26-CME,short,2025-10-13 11:57:00.000000,2749,20,20,147,6866.25,6876.25,6861.25,6856.25,10,5,10,1,,623,623,35,5.3875,8578.7,6975.15,375.8,3.5,6865,6866.25,4837,3715,623,1.85614849,1.85614849,1.6577967,0.56383834,0.53260503,1.6577967,6842.25,6869,6833.75,35.25,0.92198582,0.07801418,0.92198582,-24,6866.75,6833.75,33,0.98484848,0.01515152,0.98484848,-32.5,-27.75,0.49775785,0.50224215,50,12997.76,10703.58,0.37214105,0.34708014,0.66001373,0.65166514,full_stop_hit,false,-1032,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2755_short_5:runner_initial_stop_hit:2771:-282:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2755_short_5:runner_initial_stop_hit:2771:-282,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2755_short_5,ESU26-CME,short,2025-10-13 12:15:00.000000,2755,20,20,165,6872.25,6882.25,6867.25,6862.25,10,5,10,1,,223,223,21.25,4.7875,7095.3,5678.45,314.2,4.25,6870.75,6872.25,7599,5681,223,2.08877285,2.08877285,0.70973902,1.07099066,1.00044907,0.70973902,6842.25,6874.75,6833.75,41,0.93902439,0.06097561,0.93902439,-30,6866.75,6833.75,33,1.16666667,-0.16666667,1.16666667,-38.5,-15,0.3125,0.6875,56,12292.58928571,10099.35714286,0.61817733,0.56251105,0.57720142,0.56225856,runner_initial_stop_hit,true,-282,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2767_short_6:full_stop_hit:2771:-1032:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2767_short_6:full_stop_hit:2771:-1032,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2767_short_6,ESU26-CME,short,2025-10-13 12:51:00.000000,2767,20,20,201,6873.5,6883.5,6868.5,6863.5,10,5,10,1,,681,681,15.5,4.625,7038.95,5445.9,485.85,3.5,6873.75,6873.5,5817,4593,681,2.16216216,2.16216216,1.40166718,0.82640167,0.84338677,1.40166718,6842.25,6877.25,6833.75,43.5,0.9137931,0.0862069,0.9137931,-31.25,6866.75,6833.75,33,1.20454545,-0.20454545,1.20454545,-39.75,-7.25,0.19727891,0.80272109,68,11517.20588235,9382.20588235,0.50507042,0.48954372,0.6111682,0.58044985,full_stop_hit,false,-1032,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2779_short_7:runner_initial_stop_hit:2800:-282:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2779_short_7:runner_initial_stop_hit:2800:-282,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2779_short_7,ESU26-CME,short,2025-10-13 13:27:00.000000,2779,20,20,237,6868,6878,6863,6858,10,5,10,1,,228,228,17.75,4.4875,6233.8,4805.65,558.6,2.75,6866.75,6868,3560,2998,228,2.22841226,2.22841226,0.40816327,0.57108024,0.62384901,0.40816327,6842.25,6883.5,6833.75,49.75,0.68844221,0.31155779,0.68844221,-25.75,6866.75,6833.75,33,1.03787879,-0.03787879,1.03787879,-34.25,3.75,0.07177033,0.92822967,80,10777.025,8722.75,0.33033235,0.34369895,0.57843422,0.55093291,runner_initial_stop_hit,true,-282,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2785_short_8:full_stop_hit:2793:-1032:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2785_short_8:full_stop_hit:2793:-1032,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2785_short_8,ESU26-CME,short,2025-10-13 13:45:00.000000,2785,20,20,255,6863.5,6873.5,6858.5,6853.5,10,5,10,1,,104,104,20.25,4.325,6290.3,4836.7,540.4,3.5,6863.75,6863.5,6806,5165,104,2.31213873,2.31213873,0.19245004,1.08198337,1.06787686,0.19245004,6842.25,6883.5,6833.75,49.75,0.59798995,0.40201005,0.59798995,-21.25,6866.75,6833.75,33,0.90151515,0.09848485,0.90151515,-29.75,6.5,0.14285714,0.85714286,86,10425.65116279,8425.22093023,0.65281294,0.6130403,0.6033484,0.57407397,full_stop_hit,false,-1032,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2799_short_9:runner_target_hit:2804:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2799_short_9:runner_target_hit:2804:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2799_short_9,ESU26-CME,short,2025-10-13 14:27:00.000000,2799,20,20,297,6876.25,6886.25,6871.25,6866.25,10,5,10,1,,129,129,17.25,3.525,5203.65,4038.85,293.35,1.5,6876.5,6876.25,3077,2434,129,2.83687943,2.83687943,0.43974774,0.59131571,0.60264679,0.43974774,6842.25,6883.5,6833.75,49.75,0.85427136,0.14572864,0.85427136,-34,6866.75,6833.75,33,1.28787879,-0.28787879,1.28787879,-42.5,-8.25,0.264,0.736,100,9657.52,7780.33,0.31861182,0.3128402,0.53881845,0.51911037,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
