schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,auction_direction_filter,max_original_reward_risk,min_minutes_after_rth_open,max_minutes_after_rth_open,max_session_range_points,max_fade_edge_score,max_vwap_stretch_points,max_open_stretch_points,target_direction_filter,target_r_multiple,input_regime_rows,auction_eligible_trades,auction_skipped_trades,auction_skipped_target_hits,auction_skipped_losses,auction_skipped_other_exits,auction_skipped_net_usd,input_signal_rows,input_candidates,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,total_candidate_net_usd,long_trades,short_trades,notes
1,auction_regime_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_auction_regime_target_r:strategy=liquidity_sweep_absorption_reversal:auction_direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=1:max_vwap_stretch=10:max_open_stretch=20:target_direction=all:target_r=2.5,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,1,10,20,all,2.5,12,9,3,0,3,0,-735.5,9,9,9,7,2,0,0.77777778,3281.25,3024.75,336.08333333,2289.25,5,4,"selected auction-regime guard first, then train-selected target R on auction-eligible logged candidates"
1,auction_regime_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,signal_auction_regime_target_r:strategy=none:auction_direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=1:max_vwap_stretch=10:max_open_stretch=20:target_direction=all:target_r=2.5,none,all,3.5,0,390,50,1,10,20,all,2.5,3,0,3,0,3,0,-798,0,0,0,0,0,0,0,0,0,0,-798,0,0,"selected auction-regime guard first, then train-selected target R on auction-eligible logged candidates"
1,auction_regime_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,signal_auction_regime_target_r:strategy=liquidity_sweep_absorption_reversal:auction_direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20:target_direction=all:target_r=2.5,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,0.85,10,20,all,2.5,11,8,3,0,3,0,-610.5,8,8,8,6,2,0,0.75,2656.25,2428.25,303.53125,1817.75,4,4,"selected auction-regime guard first, then train-selected target R on auction-eligible logged candidates"
1,auction_regime_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,signal_auction_regime_target_r:strategy=none:auction_direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20:target_direction=all:target_r=2.5,none,all,3.5,0,390,50,0.85,10,20,all,2.5,4,0,4,0,4,0,-926.5,0,0,0,0,0,0,0,0,0,0,-926.5,0,0,"selected auction-regime guard first, then train-selected target R on auction-eligible logged candidates"
1,auction_regime_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,signal_auction_regime_target_r:strategy=liquidity_sweep_absorption_reversal:auction_direction=all:max_rr=2.5:minutes=0-120:max_session_range=35:max_fade_edge=0.75:max_vwap_stretch=6:max_open_stretch=6:target_direction=all:target_r=2.5,liquidity_sweep_absorption_reversal,all,2.5,0,120,35,0.75,6,6,all,2.5,11,4,7,0,7,0,-1687,4,4,4,4,0,0,1,1843.75,1729.75,432.4375,42.75,2,2,"selected auction-regime guard first, then train-selected target R on auction-eligible logged candidates"
1,auction_regime_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,signal_auction_regime_target_r:strategy=none:auction_direction=all:max_rr=2.5:minutes=0-120:max_session_range=35:max_fade_edge=0.75:max_vwap_stretch=6:max_open_stretch=6:target_direction=all:target_r=2.5,none,all,2.5,0,120,35,0.75,6,6,all,2.5,4,0,4,0,4,0,-751.5,0,0,0,0,0,0,0,0,0,0,-751.5,0,0,"selected auction-regime guard first, then train-selected target R on auction-eligible logged candidates"
1,auction_regime_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,signal_auction_regime_target_r:strategy=liquidity_sweep_absorption_reversal:auction_direction=all:max_rr=999:minutes=0-120:max_session_range=35:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20:target_direction=all:target_r=2,liquidity_sweep_absorption_reversal,all,999,0,120,35,0.85,10,20,all,2,11,4,7,0,7,0,-1624.5,4,4,4,3,1,0,0.75,1175,1061,265.25,-563.5,2,2,"selected auction-regime guard first, then train-selected target R on auction-eligible logged candidates"
1,auction_regime_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,signal_auction_regime_target_r:strategy=none:auction_direction=all:max_rr=999:minutes=0-120:max_session_range=35:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20:target_direction=all:target_r=2,none,all,999,0,120,35,0.85,10,20,all,2,3,0,3,0,3,0,-673,0,0,0,0,0,0,0,0,0,0,-673,0,0,"selected auction-regime guard first, then train-selected target R on auction-eligible logged candidates"
1,auction_regime_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,signal_auction_regime_target_r:strategy=liquidity_sweep_absorption_reversal:auction_direction=long:max_rr=999:minutes=0-120:max_session_range=999:max_fade_edge=1:max_vwap_stretch=999:max_open_stretch=999:target_direction=all:target_r=2,liquidity_sweep_absorption_reversal,long,999,0,120,999,1,999,999,all,2,11,4,7,0,7,0,-1749.5,4,4,4,2,2,0,0.5,700,586,146.5,-1163.5,4,0,"selected auction-regime guard first, then train-selected target R on auction-eligible logged candidates"
1,auction_regime_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,signal_auction_regime_target_r:strategy=liquidity_sweep_absorption_reversal:auction_direction=long:max_rr=999:minutes=0-120:max_session_range=999:max_fade_edge=1:max_vwap_stretch=999:max_open_stretch=999:target_direction=all:target_r=2,liquidity_sweep_absorption_reversal,long,999,0,120,999,1,999,999,all,2,2,1,1,0,1,0,-203.5,1,1,1,1,0,0,1,200,171.5,171.5,-32,1,0,"selected auction-regime guard first, then train-selected target R on auction-eligible logged candidates"
